"","scr_inner_iterations[[""Control""]][[""gamma""]]"
"ASV_780",0
"ASV_781",0
"ASV_782",0
"ASV_783",0
"ASV_784",0
"ASV_785",6.45028697207622e-05
"ASV_786",0.000425559240908163
"ASV_787",0
"ASV_788",0
"ASV_789",0
"ASV_790",0
"ASV_791",0
"ASV_792",0
"ASV_793",0
"ASV_794",0
"ASV_795",0
"ASV_796",0
"ASV_797",0
"ASV_798",0
"ASV_799",0
"ASV_800",0
"ASV_801",0
"ASV_802",0
"ASV_803",0
"ASV_804",0
"ASV_805",0
"ASV_806",0
"ASV_807",0
"ASV_808",0
"ASV_809",0
"ASV_810",0
"ASV_811",0
"ASV_812",0
"ASV_813",0
"ASV_814",0
"ASV_815",0
"ASV_816",0
"ASV_817",0
"ASV_818",0
"ASV_819",0
"ASV_820",0
"ASV_821",0
"ASV_822",0
"ASV_823",0
"ASV_824",0
"ASV_825",0
"ASV_826",0
"ASV_827",0
"ASV_828",0.00010763427734281
"ASV_829",0
"ASV_830",0.000130004405613965
"ASV_831",0
"ASV_832",0
"ASV_833",0.000116657657591506
"ASV_834",0
"ASV_835",0
"ASV_836",0
"ASV_837",0
"ASV_838",0
"ASV_839",0
"ASV_840",0
"ASV_841",0
"ASV_842",0
"ASV_843",0
"ASV_844",0
"ASV_845",0
"ASV_846",0
"ASV_847",0
"ASV_848",0
"ASV_849",0
"ASV_850",0
"ASV_851",0
"ASV_852",0
"ASV_853",0
"ASV_854",0
"ASV_855",0
"ASV_856",0
"ASV_857",0
"ASV_858",0
"ASV_859",0
"ASV_860",0
"ASV_861",0
"ASV_862",8.61025149712082e-05
"ASV_863",0
"ASV_864",0
"ASV_865",0
"ASV_866",0
"ASV_867",0
"ASV_868",0
"ASV_869",0
"ASV_870",0
"ASV_871",0
"ASV_872",0.012693514942613
"ASV_873",0
"ASV_874",0
"ASV_875",0
"ASV_876",0.000963397578152814
"ASV_877",0
"ASV_878",0
"ASV_879",0
"ASV_880",0.000256205310937197
"ASV_881",0.000692635626564314
"ASV_882",0
"ASV_883",0
"ASV_884",0
"ASV_885",0
"ASV_886",0
"ASV_887",0
"ASV_888",0
"ASV_889",0
"ASV_890",0
"ASV_891",0.000130872143597104
"ASV_892",0
"ASV_893",0
"ASV_894",0
